loc_rowid,pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_masse,sy_dist
1,11 Com b,2,1,Radial Velocity,2007,Xinglong Station,,93.1846000
2,11 Com b,2,1,Radial Velocity,2007,Xinglong Station,,93.1846000
3,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
4,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
5,11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,125.3210000
6,14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,75.4392000
7,14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,75.4392000
8,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
9,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
10,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
11,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
12,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
13,14 Her b,1,1,Radial Velocity,2002,W. M. Keck Observatory,,17.9323000
14,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
15,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
16,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
17,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
18,16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,,21.1397000
19,18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,76.2220000
20,18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,76.2220000
21,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,3000.00000,139.1350000
22,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,4000.00000,139.1350000
23,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,3000.00000,139.1350000
24,1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,2543.00000,139.1350000
25,24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,,95.9863000
26,24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,,72.0691000
27,24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,,72.0691000
28,2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,4131.79000,
29,2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,7786.50000,33.8281000
30,2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,,33.8281000
31,2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,4417.83700,
32,2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,2383.60000,
33,2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,1589.15000,64.3080000
34,2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,1271.00000,64.3080000
35,2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,Kepler,603.87700,396.3320000
36,2MASS J21402931+1625183 A b,1,1,Imaging,2009,W. M. Keck Observatory,6657.48000,
37,2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,3972.87500,69.5737000
38,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
39,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
40,30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,44.6570000
41,4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,,73.4603000
42,42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,,90.6545000
43,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
44,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
45,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
46,47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,,13.7967000
47,47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,,13.7967000
48,47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,,13.7967000
49,47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,,13.7967000
50,51 Eri b,3,1,Imaging,2015,Gemini Observatory,,29.7575000
51,51 Eri b,3,1,Imaging,2015,Gemini Observatory,,29.7575000
52,51 Eri b,3,1,Imaging,2015,Gemini Observatory,635.66000,29.7575000
53,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
54,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,146.20180,15.4614000
55,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
56,51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,,15.4614000
57,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
58,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
59,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
60,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,263.97850,12.5855000
61,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,254.25000,12.5855000
62,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
63,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
64,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
65,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
66,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,,12.5855000
67,55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,266.96600,12.5855000
68,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
69,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,56.69850,12.5855000
70,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
71,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
72,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,54.47380,12.5855000
73,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
74,55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
75,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,1232.49300,12.5855000
76,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
77,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,1226.77000,12.5855000
78,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
79,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
80,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
81,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
82,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
83,55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,,12.5855000
84,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
85,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.81000,12.5855000
86,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.08000,12.5855000
87,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.09479,12.5855000
88,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.37000,12.5855000
89,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.74000,12.5855000
90,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.13928,12.5855000
91,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
92,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.63000,12.5855000
93,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,8.08000,12.5855000
94,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,7.99000,12.5855000
95,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
96,55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,,12.5855000
97,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
98,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
99,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
100,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,44.81200,12.5855000
101,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,47.00510,12.5855000
102,55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,,12.5855000
103,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
104,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
105,6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,54.6599000
106,61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
107,61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
108,61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,,8.5033200
109,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
110,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
111,7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,19.8101000
112,7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,,19.8101000
113,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
114,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
115,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
116,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,,17.9011000
117,70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,2380.45000,17.9011000
118,75 Cet b,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,,82.9613000
119,8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,,162.5520000
120,8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,,162.5520000
121,81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,101.2600000
122,81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,101.2600000
123,91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,,44.0304000
124,AB Pic b,1,1,Imaging,2005,Paranal Observatory,4290.50000,50.0475000
125,AU Mic b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),,9.7221000
126,BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,,1070.6300000
127,BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,,49.3520000
128,BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,,49.3520000
129,BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,,768.0450000
130,BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,,426.4200000
131,BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
132,BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
133,BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,,1539.7100000
134,BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,,1322.5100000
135,BD+20 594 b,1,1,Transit,2016,K2,16.30000,179.4610000
136,BD+20 594 b,1,1,Transit,2016,K2,,179.4610000
137,BD+20 594 b,1,1,Transit,2016,K2,,179.4610000
138,BD+20 594 b,1,1,Transit,2016,K2,22.24810,179.4610000
139,BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,53.6220000
140,BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,,871.4930000
141,BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,,666.5890000
142,BD+49 828 b,1,1,Radial Velocity,2015,McDonald Observatory,,442.0420000
143,BD+55 362 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,52.5697000
144,BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,38.0473000
145,BD-00 4475 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,,42.6402000
146,BD-06 1339 b,1,2,Radial Velocity,2013,La Silla Observatory,,20.2695000
147,BD-06 1339 c,1,2,Radial Velocity,2013,La Silla Observatory,,20.2695000
148,BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,,41.3342000
