,Region,Year,RDT_positive,RDT_suspect,suspected
0,Africa,2000,,,34871427.0
1,Africa,2001,,,45092472.0
2,Africa,2002,,,49299926.0
3,Africa,2003,,,72523987.0
4,Africa,2004,,,76668012.0
5,Africa,2005,,82007.0,77031818.0
6,Africa,2006,,1375224.0,74570241.0
7,Africa,2007,,3158553.0,80674299.0
8,Africa,2008,,4290183.0,77076016.0
9,Africa,2009,,5791395.0,97208229.0
10,Africa,2010,6039302.0,19979104.0,111665881.0
11,Africa,2011,9646081.0,19605833.0,123797109.0
12,Africa,2012,19864312.0,35472121.0,148912774.0
13,Africa,2013,26204915.0,59808278.0,183005703.0
14,Africa,2014,57739424.0,108436407.0,211094143.0
15,Africa,2015,83247647.0,137014204.0,226839519.0
16,Africa,2016,106561835.0,173934626.0,260150689.0
17,Africa,2017,117494352.0,190698164.0,273892215.0
18,Africa,2018,111771433.0,188233743.0,264621825.0
19,Africa,2019,139228474.0,227949335.0,298863373.0
20,Africa,2020,136752150.0,216430159.0,282779798.0
21,Africa,2021,,236150193.0,301753684.0
22,Americas,2000,,,9748823.0
23,Americas,2001,,,9160624.0
24,Americas,2002,,,8980446.0
25,Americas,2003,,,8382380.0
26,Americas,2004,,5000.0,8338321.0
27,Americas,2005,,8500.0,9092461.0
28,Americas,2006,,20063.0,9255464.0
29,Americas,2007,,47897.0,9381200.0
30,Americas,2008,,111236.0,8269628.0
31,Americas,2009,,121048.0,8221314.0
32,Americas,2010,2653.0,65172.0,8478343.0
33,Americas,2011,5791.0,105517.0,7699539.0
34,Americas,2012,15456.0,221191.0,7640253.0
35,Americas,2013,12455.0,175765.0,7125948.0
36,Americas,2014,13194.0,339276.0,7051819.0
37,Americas,2015,21580.0,327185.0,6745333.0
38,Americas,2016,36506.0,608875.0,6424859.0
39,Americas,2017,38329.0,663108.0,6605423.0
40,Americas,2018,80151.0,688681.0,5995853.0
41,Americas,2019,99071.0,514708.0,6369333.0
42,Americas,2020,136609.0,518621.0,4376142.0
43,Americas,2021,,707631.0,5209603.0
44,South-East Asia,2000,,,96532464.0
45,South-East Asia,2001,,,99658502.0
46,South-East Asia,2002,,,100584018.0
47,South-East Asia,2003,,2668.0,107117148.0
48,South-East Asia,2004,,15000.0,104435178.0
49,South-East Asia,2005,,633.0,110679824.0
50,South-East Asia,2006,,300000.0,113394021.0
51,South-East Asia,2007,,9034951.0,110679136.0
52,South-East Asia,2008,,10169275.0,113347080.0
53,South-East Asia,2009,,9957379.0,118792681.0
54,South-East Asia,2010,371054.0,11924075.0,125956545.0
55,South-East Asia,2011,417006.0,11915855.0,125124926.0
56,South-East Asia,2012,441827.0,15198260.0,128575601.0
57,South-East Asia,2013,336227.0,16598368.0,134891147.0
58,South-East Asia,2014,240865.0,16659596.0,145647540.0
59,South-East Asia,2015,219424.0,23304048.0,148935427.0
60,South-East Asia,2016,134607.0,24235121.0,153471953.0
61,South-East Asia,2017,648977.0,19887865.0,134738598.0
62,South-East Asia,2018,316258.0,18590825.0,134143687.0
63,South-East Asia,2019,317785.0,26285599.0,145063692.0
64,South-East Asia,2020,247444.0,29535943.0,106471324.0
65,South-East Asia,2021,,30510653.0,121644823.0
66,Europe,2000,,,3429609.0
67,Europe,2001,,,3389867.0
68,Europe,2002,,,3181481.0
69,Europe,2003,,,3346293.0
70,Europe,2004,,,3293760.0
71,Europe,2005,,,3082257.0
72,Europe,2006,,,2846546.0
73,Europe,2007,,,2549500.0
74,Europe,2008,,,2376491.0
75,Europe,2009,,,2304223.0
76,Europe,2010,,,2204748.0
77,Europe,2011,,,1959955.0
78,Europe,2012,,,1869184.0
79,Europe,2013,,,1864593.0
80,Europe,2014,,,1638407.0
81,Europe,2015,0.0,42056.0,1790881.0
82,Europe,2016,0.0,34570.0,1778279.0
83,Europe,2017,0.0,41218.0,1447314.0
84,Europe,2018,,41218.0,1438817.0
85,Europe,2019,,2009.0,1078532.0
86,Europe,2020,,,861048.0
87,Europe,2021,,,
88,Eastern Mediterranean,2000,,,2767429.0
89,Eastern Mediterranean,2001,,,11573737.0
90,Eastern Mediterranean,2002,,,12461713.0
91,Eastern Mediterranean,2003,,,12978078.0
92,Eastern Mediterranean,2004,,,10773643.0
